,epoch,step,reward,done,action,evaluation_state
0,0.0,0.0,0.0,1.0,1.0,0.0
1,1.0,0.0,1.0,0.0,1.0,1.0
2,1.0,1.0,1.0,0.0,2.0,1.0
3,1.0,2.0,1.0,0.0,2.0,1.0
4,1.0,3.0,1.0,0.0,2.0,1.0
5,1.0,4.0,0.0,1.0,2.0,1.0
6,2.0,0.0,1.0,0.0,1.0,0.0
7,2.0,1.0,1.0,0.0,1.0,0.0
8,2.0,2.0,1.0,0.0,1.0,0.0
9,2.0,3.0,1.0,0.0,2.0,0.0
10,2.0,4.0,0.0,1.0,2.0,0.0
11,3.0,0.0,1.0,0.0,1.0,1.0
12,3.0,1.0,1.0,0.0,2.0,1.0
13,3.0,2.0,1.0,0.0,2.0,1.0
14,3.0,3.0,1.0,0.0,2.0,1.0
15,3.0,4.0,0.0,1.0,2.0,1.0
16,4.0,0.0,1.0,0.0,0.0,0.0
17,4.0,1.0,1.0,0.0,0.0,0.0
18,4.0,2.0,1.0,0.0,1.0,0.0
19,4.0,3.0,1.0,0.0,1.0,0.0
20,4.0,4.0,1.0,0.0,2.0,0.0
21,4.0,5.0,1.0,0.0,2.0,0.0
22,4.0,6.0,1.0,0.0,1.0,0.0
23,4.0,7.0,0.0,1.0,1.0,0.0
24,5.0,0.0,1.0,0.0,1.0,1.0
25,5.0,1.0,1.0,0.0,2.0,1.0
26,5.0,2.0,1.0,0.0,2.0,1.0
27,5.0,3.0,1.0,0.0,2.0,1.0
28,5.0,4.0,0.0,1.0,2.0,1.0
29,6.0,0.0,1.0,0.0,0.0,0.0
30,6.0,1.0,1.0,0.0,2.0,0.0
31,6.0,2.0,1.0,0.0,2.0,0.0
32,6.0,3.0,1.0,0.0,2.0,0.0
33,6.0,4.0,0.0,1.0,2.0,0.0
34,7.0,0.0,1.0,0.0,1.0,1.0
35,7.0,1.0,1.0,0.0,2.0,1.0
36,7.0,2.0,1.0,0.0,2.0,1.0
37,7.0,3.0,1.0,0.0,2.0,1.0
38,7.0,4.0,0.0,1.0,2.0,1.0
39,8.0,0.0,1.0,0.0,2.0,0.0
40,8.0,1.0,1.0,0.0,0.0,0.0
41,8.0,2.0,1.0,0.0,2.0,0.0
42,8.0,3.0,1.0,0.0,0.0,0.0
43,8.0,4.0,0.0,1.0,0.0,0.0
44,9.0,0.0,1.0,0.0,1.0,1.0
45,9.0,1.0,1.0,0.0,2.0,1.0
46,9.0,2.0,1.0,0.0,2.0,1.0
47,9.0,3.0,1.0,0.0,2.0,1.0
48,9.0,4.0,0.0,1.0,2.0,1.0
49,10.0,0.0,1.0,0.0,0.0,0.0
50,10.0,1.0,1.0,0.0,1.0,0.0
51,10.0,2.0,1.0,0.0,0.0,0.0
52,10.0,3.0,1.0,0.0,2.0,0.0
53,10.0,4.0,0.0,1.0,2.0,0.0
54,11.0,0.0,1.0,0.0,1.0,1.0
55,11.0,1.0,1.0,0.0,2.0,1.0
56,11.0,2.0,1.0,0.0,2.0,1.0
57,11.0,3.0,1.0,0.0,2.0,1.0
58,11.0,4.0,0.0,1.0,2.0,1.0
59,12.0,0.0,1.0,0.0,2.0,0.0
60,12.0,1.0,1.0,0.0,0.0,0.0
61,12.0,2.0,1.0,0.0,1.0,0.0
62,12.0,3.0,1.0,0.0,0.0,0.0
63,12.0,4.0,1.0,0.0,2.0,0.0
64,12.0,5.0,0.0,1.0,1.0,0.0
65,13.0,0.0,1.0,0.0,1.0,1.0
66,13.0,1.0,1.0,0.0,2.0,1.0
67,13.0,2.0,1.0,0.0,2.0,1.0
68,13.0,3.0,1.0,0.0,2.0,1.0
69,13.0,4.0,0.0,1.0,2.0,1.0
70,14.0,0.0,1.0,0.0,2.0,0.0
71,14.0,1.0,1.0,0.0,2.0,0.0
72,14.0,2.0,1.0,0.0,2.0,0.0
73,14.0,3.0,1.0,0.0,2.0,0.0
74,14.0,4.0,1.0,0.0,0.0,0.0
75,14.0,5.0,0.0,1.0,2.0,0.0
76,15.0,0.0,1.0,0.0,1.0,1.0
77,15.0,1.0,1.0,0.0,2.0,1.0
78,15.0,2.0,1.0,0.0,2.0,1.0
79,15.0,3.0,1.0,0.0,2.0,1.0
80,15.0,4.0,0.0,1.0,2.0,1.0
81,16.0,0.0,1.0,0.0,1.0,0.0
82,16.0,1.0,1.0,0.0,1.0,0.0
83,16.0,2.0,1.0,0.0,0.0,0.0
84,16.0,3.0,1.0,0.0,1.0,0.0
85,16.0,4.0,0.0,1.0,2.0,0.0
86,17.0,0.0,1.0,0.0,1.0,1.0
87,17.0,1.0,1.0,0.0,2.0,1.0
88,17.0,2.0,1.0,0.0,2.0,1.0
89,17.0,3.0,1.0,0.0,2.0,1.0
90,17.0,4.0,0.0,1.0,2.0,1.0
91,18.0,0.0,1.0,0.0,0.0,0.0
92,18.0,1.0,1.0,0.0,2.0,0.0
93,18.0,2.0,1.0,0.0,2.0,0.0
94,18.0,3.0,1.0,0.0,1.0,0.0
95,18.0,4.0,0.0,1.0,1.0,0.0
96,19.0,0.0,1.0,0.0,1.0,1.0
97,19.0,1.0,1.0,0.0,2.0,1.0
98,19.0,2.0,1.0,0.0,2.0,1.0
99,19.0,3.0,1.0,0.0,2.0,1.0
100,19.0,4.0,0.0,1.0,2.0,1.0
101,20.0,0.0,1.0,0.0,1.0,0.0
102,20.0,1.0,1.0,0.0,1.0,0.0
103,20.0,2.0,1.0,0.0,1.0,0.0
104,20.0,3.0,1.0,0.0,1.0,0.0
105,20.0,4.0,0.0,1.0,0.0,0.0
106,21.0,0.0,1.0,0.0,1.0,1.0
107,21.0,1.0,1.0,0.0,2.0,1.0
108,21.0,2.0,1.0,0.0,2.0,1.0
109,21.0,3.0,1.0,0.0,2.0,1.0
110,21.0,4.0,0.0,1.0,2.0,1.0
111,22.0,0.0,1.0,0.0,1.0,0.0
112,22.0,1.0,1.0,0.0,2.0,0.0
113,22.0,2.0,1.0,0.0,1.0,0.0
114,22.0,3.0,1.0,0.0,2.0,0.0
115,22.0,4.0,0.0,1.0,2.0,0.0
116,23.0,0.0,1.0,0.0,1.0,1.0
117,23.0,1.0,1.0,0.0,2.0,1.0
118,23.0,2.0,1.0,0.0,2.0,1.0
119,23.0,3.0,1.0,0.0,2.0,1.0
120,23.0,4.0,0.0,1.0,2.0,1.0
121,24.0,0.0,1.0,0.0,1.0,0.0
122,24.0,1.0,1.0,0.0,2.0,0.0
123,24.0,2.0,1.0,0.0,0.0,0.0
124,24.0,3.0,1.0,0.0,1.0,0.0
125,24.0,4.0,1.0,0.0,1.0,0.0
126,24.0,5.0,0.0,1.0,2.0,0.0
127,25.0,0.0,1.0,0.0,1.0,1.0
128,25.0,1.0,1.0,0.0,2.0,1.0
129,25.0,2.0,1.0,0.0,2.0,1.0
130,25.0,3.0,1.0,0.0,2.0,1.0
131,25.0,4.0,0.0,1.0,0.0,1.0
132,26.0,0.0,1.0,0.0,1.0,0.0
133,26.0,1.0,1.0,0.0,0.0,0.0
134,26.0,2.0,1.0,0.0,0.0,0.0
135,26.0,3.0,1.0,0.0,2.0,0.0
136,26.0,4.0,0.0,1.0,2.0,0.0
137,27.0,0.0,1.0,0.0,1.0,1.0
138,27.0,1.0,1.0,0.0,2.0,1.0
139,27.0,2.0,1.0,0.0,2.0,1.0
140,27.0,3.0,1.0,0.0,2.0,1.0
141,27.0,4.0,0.0,1.0,2.0,1.0
142,28.0,0.0,1.0,0.0,1.0,0.0
143,28.0,1.0,1.0,0.0,0.0,0.0
144,28.0,2.0,1.0,0.0,0.0,0.0
145,28.0,3.0,1.0,0.0,2.0,0.0
146,28.0,4.0,0.0,1.0,0.0,0.0
147,29.0,0.0,1.0,0.0,1.0,1.0
148,29.0,1.0,1.0,0.0,2.0,1.0
149,29.0,2.0,1.0,0.0,2.0,1.0
150,29.0,3.0,1.0,0.0,2.0,1.0
151,29.0,4.0,0.0,1.0,2.0,1.0
152,30.0,0.0,1.0,0.0,1.0,0.0
153,30.0,1.0,1.0,0.0,0.0,0.0
154,30.0,2.0,1.0,0.0,0.0,0.0
155,30.0,3.0,1.0,0.0,2.0,0.0
156,30.0,4.0,0.0,1.0,2.0,0.0
157,31.0,0.0,1.0,0.0,1.0,1.0
158,31.0,1.0,1.0,0.0,2.0,1.0
159,31.0,2.0,1.0,0.0,2.0,1.0
160,31.0,3.0,1.0,0.0,2.0,1.0
161,31.0,4.0,0.0,1.0,2.0,1.0
162,32.0,0.0,1.0,0.0,2.0,0.0
163,32.0,1.0,1.0,0.0,2.0,0.0
164,32.0,2.0,1.0,0.0,2.0,0.0
165,32.0,3.0,1.0,0.0,2.0,0.0
166,32.0,4.0,1.0,0.0,2.0,0.0
167,32.0,5.0,0.0,1.0,2.0,0.0
168,33.0,0.0,1.0,0.0,1.0,1.0
169,33.0,1.0,1.0,0.0,2.0,1.0
170,33.0,2.0,1.0,0.0,2.0,1.0
171,33.0,3.0,1.0,0.0,2.0,1.0
172,33.0,4.0,0.0,1.0,2.0,1.0
173,34.0,0.0,1.0,0.0,1.0,0.0
174,34.0,1.0,1.0,0.0,1.0,0.0
175,34.0,2.0,1.0,0.0,2.0,0.0
176,34.0,3.0,1.0,0.0,2.0,0.0
177,34.0,4.0,0.0,1.0,2.0,0.0
178,35.0,0.0,1.0,0.0,1.0,1.0
179,35.0,1.0,1.0,0.0,2.0,1.0
180,35.0,2.0,1.0,0.0,2.0,1.0
181,35.0,3.0,1.0,0.0,2.0,1.0
182,35.0,4.0,0.0,1.0,2.0,1.0
183,36.0,0.0,1.0,0.0,1.0,0.0
184,36.0,1.0,1.0,0.0,0.0,0.0
185,36.0,2.0,1.0,0.0,1.0,0.0
186,36.0,3.0,1.0,0.0,2.0,0.0
187,36.0,4.0,0.0,1.0,1.0,0.0
188,37.0,0.0,1.0,0.0,1.0,1.0
189,37.0,1.0,1.0,0.0,2.0,1.0
190,37.0,2.0,1.0,0.0,0.0,1.0
191,37.0,3.0,1.0,0.0,2.0,1.0
192,37.0,4.0,1.0,0.0,2.0,1.0
193,37.0,5.0,1.0,0.0,2.0,1.0
194,37.0,6.0,0.0,1.0,2.0,1.0
195,38.0,0.0,1.0,0.0,1.0,0.0
196,38.0,1.0,1.0,0.0,2.0,0.0
197,38.0,2.0,1.0,0.0,2.0,0.0
198,38.0,3.0,1.0,0.0,1.0,0.0
199,38.0,4.0,0.0,1.0,1.0,0.0
200,39.0,0.0,1.0,0.0,1.0,1.0
201,39.0,1.0,1.0,0.0,2.0,1.0
202,39.0,2.0,1.0,0.0,2.0,1.0
203,39.0,3.0,1.0,0.0,2.0,1.0
204,39.0,4.0,0.0,1.0,2.0,1.0
205,40.0,0.0,1.0,0.0,0.0,0.0
206,40.0,1.0,1.0,0.0,2.0,0.0
207,40.0,2.0,1.0,0.0,2.0,0.0
208,40.0,3.0,1.0,0.0,2.0,0.0
209,40.0,4.0,0.0,1.0,2.0,0.0
210,41.0,0.0,1.0,0.0,1.0,1.0
211,41.0,1.0,1.0,0.0,2.0,1.0
212,41.0,2.0,1.0,0.0,2.0,1.0
213,41.0,3.0,1.0,0.0,2.0,1.0
214,41.0,4.0,0.0,1.0,2.0,1.0
215,42.0,0.0,1.0,0.0,2.0,0.0
216,42.0,1.0,1.0,0.0,2.0,0.0
217,42.0,2.0,1.0,0.0,1.0,0.0
218,42.0,3.0,1.0,0.0,0.0,0.0
219,42.0,4.0,0.0,1.0,2.0,0.0
220,43.0,0.0,1.0,0.0,1.0,1.0
221,43.0,1.0,1.0,0.0,2.0,1.0
222,43.0,2.0,1.0,0.0,2.0,1.0
223,43.0,3.0,1.0,0.0,2.0,1.0
